ID_POL;Antigüedad;Forma_Pago;Comb;Sexo;Bonus_RC;start_date;end_date;Expuestos;Edad_FMT;Valor_FMT;Potencia_FMT;Peso_FMT;Carnet_FMT
B80057;3;A;D;1;50;42736;43069;333;06.>=65;02.10-16k;03.90-110;03. 1200;04.8-
B80058;10;A;G;1;50;42736;43044;308;04.35-50;02.10-16k;03.90-110;04. 1400;04.8-
B80059;10;A;G;2;20;42736;43044;308;03.28-35;01.<10k;03.90-110;02. 1000;03.5-7
B80060;6;A;D;1;50;42736;42882;146;06.>=65;03.16-20k;04.110-130;05. 1600;04.8-
B80061;10;A;D;1;50;42736;43055;319;04.35-50;02.10-16k;02.70-90;03. 1200;04.8-
B80062;2;A;D;1;30;42736;43044;308;05.50-65;02.10-16k;02.70-90;03. 1200;04.8-
B80063;9;A;D;1;50;42783;43043;260;05.50-65;02.10-16k;02.70-90;06. 1800;04.8-
B80063;9;A;D;1;50;42736;42782;46;05.50-65;03.16-20k;04.110-130;04. 1400;04.8-
B80064;10;A;D;1;0;42736;43043;307;06.>=65;02.10-16k;03.90-110;05. 1600;04.8-
B80065;9;A;G;1;50;42736;43058;322;03.28-35;01.<10k;01.<70;03. 1200;02.2-4
B80067;10;A;D;1;50;42736;43043;307;04.35-50;03.16-20k;05.130-150;04. 1400;04.8-
B80068;8;A;D;1;50;42736;43052;316;05.50-65;04.20-24k;06.150-200;05. 1600;04.8-
B80069;10;A;D;2;50;42736;43043;307;04.35-50;02.10-16k;03.90-110;03. 1200;04.8-
B80070;2;A;D;1;50;42736;43067;331;03.28-35;01.<10k;02.70-90;03. 1200;04.8-
B80071;2;A;G;2;50;42736;43043;307;03.28-35;01.<10k;02.70-90;03. 1200;02.2-4
B80072;10;A;D;2;50;42736;43043;307;03.28-35;02.10-16k;01.<70;03. 1200;04.8-
B80073;7;A;D;2;50;42736;43044;308;04.35-50;02.10-16k;03.90-110;03. 1200;03.5-7
B80074;6;A;D;1;50;42736;43058;322;05.50-65;03.16-20k;03.90-110;05. 1600;04.8-
B80075;8;A;D;1;50;42736;43043;307;04.35-50;04.20-24k;04.110-130;05. 1600;04.8-
B80076;7;A;G;1;20;42736;43043;307;03.28-35;02.10-16k;02.70-90;03. 1200;04.8-
B80078;8;A;D;2;40;42736;42813;77;02.25-28;02.10-16k;02.70-90;03. 1200;03.5-7
B80079;9;A;G;1;50;42738;43043;305;04.35-50;01.<10k;02.70-90;02. 1000;04.8-
B80079;9;A;G;1;50;42736;42737;1;04.35-50;01.<10k;02.70-90;02. 1000;04.8-
B80080;1;A;D;1;50;42736;43043;307;03.28-35;04.20-24k;04.110-130;05. 1600;04.8-
B80081;10;A;D;1;50;42736;43045;309;05.50-65;02.10-16k;03.90-110;04. 1400;04.8-
B80082;10;A;D;1;50;42736;42821;85;03.28-35;02.10-16k;03.90-110;03. 1200;04.8-
B80082;10;A;D;1;50;42822;43049;227;03.28-35;06.30-35k;06.150-200;06. 1800;04.8-
B80083;9;A;D;1;50;42736;43043;307;03.28-35;02.10-16k;04.110-130;03. 1200;04.8-
B80084;10;A;G;2;20;42738;43100;362;05.50-65;01.<10k;03.90-110;03. 1200;04.8-
B80085;6;A;G;1;0;42736;43070;334;06.>=65;01.<10k;02.70-90;03. 1200;04.8-
B80086;1;S;D;2;50;42736;43043;307;02.25-28;02.10-16k;03.90-110;03. 1200;04.8-
B80087;10;A;D;1;50;42736;43043;307;04.35-50;03.16-20k;04.110-130;07. >1800;04.8-
B80088;10;A;D;2;50;42736;43043;307;03.28-35;01.<10k;02.70-90;03. 1200;04.8-
B80089;5;A;D;1;50;42736;43098;362;05.50-65;02.10-16k;03.90-110;03. 1200;04.8-
B80091;8;A;G;1;50;42736;43043;307;06.>=65;05.24-30k;07.>200;05. 1600;04.8-
B80095;0;A;D;1;50;42736;43043;307;05.50-65;01.<10k;02.70-90;04. 1400;04.8-
B80096;4;S;D;1;50;42736;43043;307;03.28-35;03.16-20k;06.150-200;05. 1600;04.8-
B80097;5;A;D;1;50;42736;43043;307;03.28-35;04.20-24k;04.110-130;04. 1400;04.8-
B80098;10;A;D;1;50;42736;43043;307;04.35-50;02.10-16k;02.70-90;05. 1600;04.8-
B80099;9;A;G;2;50;42736;43053;317;04.35-50;02.10-16k;03.90-110;03. 1200;04.8-
B80100;9;A;D;1;30;42736;43043;307;03.28-35;04.20-24k;03.90-110;04. 1400;04.8-
B80101;10;A;D;1;50;42846;43070;224;03.28-35;02.10-16k;02.70-90;04. 1400;04.8-
B80101;10;A;D;1;50;42736;42845;109;03.28-35;02.10-16k;02.70-90;04. 1400;04.8-
B80102;10;A;G;1;50;42736;43069;333;05.50-65;02.10-16k;03.90-110;04. 1400;04.8-
B80103;8;A;D;2;50;42736;43043;307;04.35-50;01.<10k;07.>200;07. >1800;04.8-
B80104;10;A;D;1;50;42736;43052;316;04.35-50;02.10-16k;03.90-110;04. 1400;04.8-
B80105;1;S;D;2;50;42736;43044;308;04.35-50;02.10-16k;01.<70;03. 1200;04.8-
B80106;8;A;D;1;50;42736;43045;309;02.25-28;02.10-16k;04.110-130;05. 1600;04.8-
B80107;7;A;D;2;50;42736;43064;328;04.35-50;02.10-16k;03.90-110;04. 1400;04.8-
B80108;10;A;D;2;50;42736;43064;328;03.28-35;03.16-20k;04.110-130;04. 1400;04.8-
B80109;9;A;D;2;50;42736;43043;307;04.35-50;02.10-16k;02.70-90;03. 1200;04.8-
B80110;10;A;G;2;50;42736;43043;307;04.35-50;02.10-16k;02.70-90;02. 1000;04.8-
B80111;5;S;D;2;50;42736;43087;351;02.25-28;02.10-16k;02.70-90;03. 1200;03.5-7
B80112;9;A;D;1;40;42736;43065;329;02.25-28;04.20-24k;06.150-200;04. 1400;03.5-7
B80113;10;A;G;1;40;42736;43043;307;05.50-65;01.<10k;01.<70;03. 1200;04.8-
B80114;9;A;D;1;20;42736;43050;314;03.28-35;02.10-16k;03.90-110;05. 1600;04.8-
B80115;10;A;G;1;30;42736;43043;307;04.35-50;01.<10k;01.<70;02. 1000;04.8-
B80116;5;A;D;1;50;42736;43061;325;05.50-65;03.16-20k;03.90-110;04. 1400;04.8-
B80117;2;A;D;1;50;42736;43045;309;04.35-50;04.20-24k;04.110-130;04. 1400;04.8-
B80118;7;A;D;1;50;42736;43059;323;04.35-50;03.16-20k;04.110-130;04. 1400;04.8-
B80119;10;A;D;1;50;42736;43052;316;03.28-35;03.16-20k;06.150-200;05. 1600;04.8-
B80120;10;A;D;1;20;42736;43048;312;03.28-35;02.10-16k;04.110-130;04. 1400;03.5-7
B80122;1;S;D;2;50;42736;43044;308;03.28-35;03.16-20k;06.150-200;05. 1600;04.8-
B80123;10;A;G;1;0;42736;43070;334;04.35-50;01.<10k;01.<70;02. 1000;04.8-
B80124;8;A;D;1;50;42736;43043;307;03.28-35;03.16-20k;04.110-130;04. 1400;04.8-
