ID_POL;Antigüedad;Forma_Pago;Potencia;Peso;Valor;Comb;Sexo;Edad;Carnet;Bonus_RC;start_date;end_date
B80072;10;A;64;1130;10223,47;D;2;30;10;50;01/01/2017;04/11/2017
B80073;7;A;105;1170;13209,27;D;2;37;7;50;01/01/2017;05/11/2017
B80074;6;A;106;1407;17463,41;D;1;55;10;50;01/01/2017;19/11/2017
B80075;8;A;129;1590;21134,14;D;1;43;10;50;01/01/2017;04/11/2017
B80076;7;A;75;1014;11567,83;G;1;29;10;20;01/01/2017;04/11/2017
B80078;8;A;70;1060;10536,59;D;2;26;6;40;01/01/2017;19/03/2017
B80079;9;A;75;950;9381,09;G;1;43;10;50;03/01/2017;04/11/2017
B80079;9;A;75;950;9381,09;G;1;43;10;50;01/01/2017;02/01/2017
B80080;1;A;110;1543;21301,33;D;1;32;10;50;01/01/2017;04/11/2017
B80081;10;A;90;1300;14625,94;D;1;58;10;50;01/01/2017;06/11/2017
B80082;10;A;100;1142;11562;D;1;33;10;50;01/01/2017;27/03/2017
B80082;10;A;150;1680;33135,55;D;1;33;10;50;28/03/2017;10/11/2017
B80083;9;A;110;1130;12921,89;D;1;31;10;50;01/01/2017;04/11/2017
B80084;10;A;100;1020;8522,17;G;2;52;10;20;03/01/2017;31/12/2017
B80085;6;A;70;1050;9428,79;G;1;73;10;0;01/01/2017;01/12/2017
B80086;1;S;90;1135;14417,59;D;2;27;8;50;01/01/2017;04/11/2017
B80087;10;A;125;1875;19760,95;D;1;37;10;50;01/01/2017;04/11/2017
B80088;10;A;75;1130;9875,16;D;2;32;10;50;01/01/2017;04/11/2017
B80089;5;A;105;1125;12883,71;D;1;53;10;50;01/01/2017;29/12/2017
B80091;8;A;231;1430;29587,83;G;1;65;10;50;01/01/2017;04/11/2017
B80095;0;A;75;1205;9181,78;D;1;55;10;50;01/01/2017;04/11/2017
B80096;4;S;160;1428;18481,36;D;1;32;10;50;01/01/2017;04/11/2017
B80097;5;A;110;1293;20400,77;D;1;34;10;50;01/01/2017;04/11/2017
B80098;10;A;70;1462;11995,24;D;1;44;10;50;01/01/2017;04/11/2017
B80099;9;A;98;1165;12953,32;G;2;35;10;50;01/01/2017;14/11/2017
B80100;9;A;91;1350;20689,84;D;1;33;10;30;01/01/2017;04/11/2017
B80101;10;A;75;1283;10637,43;D;1;32;10;50;21/04/2017;01/12/2017
B80101;10;A;75;1283;10637,43;D;1;32;10;50;01/01/2017;20/04/2017
B80102;10;A;105;1272;11513,86;G;1;56;10;50;01/01/2017;30/11/2017
B80103;8;A;355;2833;0;D;2;38;10;50;01/01/2017;04/11/2017
B80104;10;A;90;1200;13123,59;D;1;44;10;50;01/01/2017;13/11/2017
B80105;1;S;68;1184;12025,95;D;2;44;10;50;01/01/2017;05/11/2017
B80106;8;A;115;1406;15230,08;D;1;27;9;50;01/01/2017;06/11/2017
B80107;7;A;100;1305;15203,25;D;2;36;9;50;01/01/2017;25/11/2017
B80108;10;A;110;1204;16803,36;D;2;30;10;50;01/01/2017;25/11/2017
B80109;9;A;80;1185;12660,83;D;2;38;10;50;01/01/2017;04/11/2017
B80110;10;A;80;915;10095,13;G;2;44;10;50;01/01/2017;04/11/2017
B80111;5;S;75;1160;11501,14;D;2;27;7;50;01/01/2017;18/12/2017
B80112;9;A;150;1395;20714,61;D;1;26;6;40;01/01/2017;26/11/2017
B80113;10;A;65;1000;8687,81;G;1;57;10;40;01/01/2017;04/11/2017
B80114;9;A;90;1405;15855,97;D;1;30;10;20;01/01/2017;11/11/2017
B80115;10;A;60;925;7132,54;G;1;46;10;30;01/01/2017;04/11/2017
B80116;5;A;105;1335;17449,03;D;1;63;10;50;01/01/2017;22/11/2017
B80117;2;A;116;1310;23156,95;D;1;35;10;50;01/01/2017;06/11/2017
B80118;7;A;120;1335;17702,26;D;1;36;10;50;01/01/2017;20/11/2017
B80119;10;A;150;1490;19595,16;D;1;31;10;50;01/01/2017;13/11/2017
B80120;10;A;113;1230;14455,29;D;1;31;6;20;01/01/2017;09/11/2017
B80122;1;S;163;1520;17892,26;D;2;32;9;50;01/01/2017;05/11/2017
B80123;10;A;60;988;8637,34;G;1;40;10;0;01/01/2017;01/12/2017
B80124;8;A;110;1244;16544,72;D;1;32;10;50;01/01/2017;04/11/2017
